,Transect,Ammonification,pH,soil_temp,litter_depth,O_depth,soil_moisture,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,root_density,ECM_abundance,SAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,Copiotroph_abundance,Oligotroph_abundance,chitinase_ECbac_abund,peptidase_ECbac_abund,chitinase_ECfun_abund,NH4uptake_ECfun_abund,peptidase_ECfun_abund,ECM_chitinase_ECfun,SAP_chitinase_ECfun,ECM_NH4uptake_ECfun,SAP_NH4uptake_ECfun,ECM_peptidase_ECfun,SAP_peptidase_ECfun,Oligotroph_chitinase_ECbac,Oligotroph_peptidase_ECbac,copiotroph_peptidase_ECbac,peptidase_phosphatase_top_fun_abundance,fun_amm_neg_module_abundance,bac_amm_pos_module_abundance,bac_amm_neg_module_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,fun_amm_pos_module_abundance,Copiotroph_chitinase_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,amidine.hydro_ECbac_abund,amino.hydro_ECbac_abund,glycosidaseN_ECbac_abund,glycosidaseOS_ECbac_abund,Noxidoreductase_ECbac_abund,amine.oxidase_ECbac_abund,peptidase_broad_ECbac_abund,Copiotroph_amidine.hydro_ECbac,Oligotroph_amidine.hydro_ECbac,Copiotroph_amino.hydro_ECbac,Oligotroph_amino.hydro_ECbac,Copiotroph_glycosidaseN_ECbac,Oligotroph_glycosidaseN_ECbac,Copiotroph_glycosidaseOS_ECbac,Oligotroph_glycosidaseOS_ECbac,Copiotroph_Noxidoreductase_ECbac,Oligotroph_Noxidoreductase_ECbac,Copiotroph_amine.oxidase_ECbac,Oligotroph_amine.oxidase_ECbac,Copiotroph_peptidase_broad_ECbac,Oligotroph_peptidase_broad_ECbac,amidine.hydro_ECfun_abund,amino.hydro_ECfun_abund,glycosidaseN_ECfun_abund,glycosidaseOS_ECfun_abund,peptidase_broad_ECfun_abund,Noxidoreductase_ECfun_abund,amine.oxidase_ECfun_abund,ECM_amidine.hydro_ECfun,SAP_amidine.hydro_ECfun,ECM_amino.hydro_ECfun,SAP_amino.hydro_ECfun,ECM_glycosidaseN_ECfun,SAP_glycosidaseN_ECfun,ECM_glycosidaseOS_ECfun,SAP_glycosidaseOS_ECfun,ECM_peptidase_broad_ECfun,SAP_peptidase_ECfun_broad,ECM_Noxidoreductase_ECfun,SAP_Noxidoreductase_ECfun,ECM_amine.oxidase_ECfun,SAP_amine.oxidase_ECfun,Litterfall_wt,Litterfall_wt_only_leaves,Al_litterfall,B_litterfall,Ca_litterfall,Cu_litterfall,Fe_litterfall,K_litterfall,Mg_litterfall,Mn_litterfall,Mo_litterfall,Na_litterfall,P_litterfall,S_litterfall,Zn_litterfall,N_litterfall,C_litterfall,lit_perc_P,lit.CN,lit.CP,lit.NP,ECM_nitrifiers_cor,ECM_copios_cor,SAP_nitrifiers_cor,SAP_copios_cor,ECM_oligo_cor,SAP_oligo_cor,all_fungal_Ndecomp_ECfun,all_EMF_Ndecomp_ECfun,all_bac_Ndecomp_ECbac,all_oligo_Ndecomp_ECbac,all_copio_Ndecomp_ECbac
1,HF1E,21.7383113,4.103333333,17.35,1.2,4.425,0.519447709,0.459035689,0.003431965,1.014223193,0.036025,0.00011875,0.0315375,1.75,0.375,2.75,0.5,0.5325,5.75,70.50033464,218.3210584,288.8213931,0,5,288.8213931,3.12313183,21,2.105084252,0.489607433,0.39028668,0.001519098,0.000887104,0.135995533,0.126719228,0.223580084,0.005235386,0.274207433,0.095864833,0.51875,2.82375,0.840261582,0.271574596,1.350039345,0.437012231,0.535174704,0.572232491,0.410015741,0.540009951,0.437653305,0.208001308,0.064379283,0.342330411,0.134516754,0.386151443,0.477907835,0.500894236,388.375,5.29884521,131.2857143,3.21483145,0.890637932,0.661301603,-0.085809763,1752575.796,8681247.731,0.380940545,0.127415704,1.09192158,24.98408616,22.57142857,1.353746952,4.605,0.35625,1.09375,0.40875,13.3325,0.20125,6.345,0.435772511,0.049390976,0.474897787,0.080378401,0.356628312,0.067133132,0.221039009,0.241635327,0.485709463,0.071556623,0.256646223,0,0.409859812,0.116283155,16.71284226,3.844840756,1.309746595,0.434790131,15.1877612,36.39349133,0.08554362,0.484572428,0.498766114,0.423633256,0.561115772,0.567205683,0.413504416,0.388696905,0.574823971,0.574635117,0.400489636,0.47255977,0.494453891,0.37844025,0.614197827,99.25,82.37,42.33,20.85,9488,4.92,39.57,1994,2081,2796,0.7852,32.4,755.2,668.4,31.27,0.93,48.28,0.0007552,51.91397849,63930.08475,1231.461864,-0.178174161,-0.428571429,0.04454354,0.5,-0.5,0.571428571,74.80927748,3.726755641,26.86125,0.834378923,2.76796882
2,HF1H,16.75992309,4.845,17.86,3.1,8.1,0.435804776,0.289904769,0.002970951,1.004397303,0.043575,5.00E-05,0.035125,2,0.9,0.4,0.3,0.2912,3.9,222.6455105,161.6835968,384.3291073,0,7.6,384.3291073,95.08088828,0.4,2.891273734,0.499389148,0.307647905,0.005510333,0.000119001,0.160571723,0.051812927,0.286598179,0.007658915,0.326389982,0.078512008,0.402,3.021,0.921095462,0.22232091,1.525703588,0.596142552,0.370877563,0.707245626,0.252590819,0.683561557,0.276483676,0.133380861,0.035443344,0.440638893,0.258281645,0.441437985,0.487169219,0.577084827,402.8,5.284137358,143.2,3.254016195,0.882970422,0.655136974,0.790355255,5941956.982,2591213.528,0.377633952,0.278893446,0.829665411,14.77614088,22.5,1.094963356,4.872,0.421,1.168,0.337,15.157,0.226,6.826,0.561509744,0.029733547,0.473352879,0.035508305,0.383337603,0.031098619,0.396787576,0.204664635,0.565711679,0.03922081,0.704212751,0.014995974,0.518413474,0.066398923,17.58223447,4.156085527,1.32339057,0.465828641,15.59794162,39.41608697,0.062450674,0.582353779,0.376889243,0.504602801,0.457554549,0.649267084,0.306885333,0.617465233,0.33269853,0.676964291,0.277691869,0.593639737,0.345311111,0.630423977,0.35158693,114.38,101.1,645.5,27.74,11650,6.71,37.82,3008,1705,1231,0,74.08,1131,695.2,75.29,0.91,47.86,0.001131,52.59340659,42316.53404,804.5977011,0.054545455,-0.357575758,-0.224242424,0.187878788,0.127272727,0.03030303,79.52511393,4.850859453,29.409,0.555001674,3.882219152
3,HF1M,16.220124,4.7575,19.025,2.75,2.5,0.501373013,0.319983157,0.644948465,0.36043249,0.034525,0.0165375,0.00923125,3,0,0.5,2.375,0.7025,6.125,97.7573428,517.6725404,225.0259909,382.4461452,4.5,615.4298832,178.3101642,1,1.153304521,0.507396695,0.258594456,0.000565468,0.000324544,0.095095623,0.164065563,0.223961707,0.010928379,0.337238951,0.081294812,0.3175,2.2725,0.97020463,0.19575941,1.574697493,0.59666603,0.296532273,0.705533356,0.219700897,0.640100857,0.244685159,0.14661045,0.034262821,0.532718254,0.229415906,0.33616527,0.504838907,0.597269758,475,5.563280127,148.75,3.330760422,0.906093608,0.667250489,1.027040566,1700791.572,1741166.918,0.207639328,0.255567442,0.681276292,12.71945508,20.5,1.175182705,3.71625,0.29125,0.795,0.27,10.9875,0.15375,5.14,0.600627547,0.031006642,0.585426523,0.051190476,0.471682168,0.042933686,0.491293614,0.155257937,0.647734452,0.041092805,0.806434619,0.007352941,0.578433861,0.06828114,17.69095193,2.991429976,1.297972283,0.500862419,17.28846673,41.79264942,0.069207185,0.595654711,0.298414878,0.550969378,0.34878818,0.636790925,0.256712299,0.611532313,0.260679538,0.641421284,0.246350724,0.573126678,0.295722323,0.686367071,0.281811424,85.3,73.87,2061,30.62,9612,7.97,74.05,4640,2319,1462,0.6241,117.4,1566,873.2,65.61,1.19,47.88,0.001566,40.23529412,30574.71264,759.8978289,-0.238095238,-0.023809524,-0.142857143,-0.214285714,0.476190476,0.071428571,82.60174456,4.89252839,21.67125,0.543726077,4.437200227
4,HF1P,12.88879377,4.3025,20.375,3.125,6.25,0.386956743,0.298817406,0.57712137,0.459079408,0.06406875,0.02401875,0.01776875,2.875,1,0.125,0.125,0.536875,5.375,42.76254588,546.2130006,215.7683458,373.2072007,6.25,588.9755465,87.38005472,2.5,2.550623998,0.512275905,0.226288836,0.00265554,7.10E-05,0.253657247,0.037750875,0.150445735,0.047381284,0.302056442,0.105448191,0.4025,2.45625,0.890019757,0.224512284,1.626103251,0.505131811,0.399914321,0.633895224,0.268233225,0.567472121,0.3236624,0.226277282,0.063281009,0.434182456,0.182103991,0.507827168,0.513414499,0.569298418,453.5,5.44624005,136.5714286,3.169636688,0.892102096,0.646462932,0.956386265,2121587.799,3011327.585,0.315788699,0.17509694,0.944232561,18.64857936,19.71428571,1.245914895,4.09,0.3325,0.94625,0.3375,12.28,0.16875,5.78625,0.531380172,0.051444501,0.521270099,0.085646967,0.379389649,0.065857856,0.269877347,0.236196226,0.550977243,0.066911693,0.654326643,0.011787281,0.480897376,0.109905501,17.18214232,5.079690646,1.343281892,0.453190078,14.98102165,38.84570776,0.07745525,0.500758485,0.392098209,0.449320487,0.441340933,0.549441436,0.330214618,0.510081544,0.353689979,0.571262565,0.313142272,0.475492964,0.35858476,0.623797815,0.350998402,128.82,83.14,78.36,20.4,11100,7.05,43.08,3600,1801,577.5,0,58.7,1157,805.9,87.14,1.02,49.96,0.001157,48.98039216,43180.63959,881.5903198,-0.018018749,0.071428571,-0.882918713,-0.642857143,0.142857143,0.214285714,78.85250935,4.185287108,24.34375,0.854027305,3.563215468
5,HF2E,17.85439565,3.63125,18.525,1.375,4.875,0.5379908,0.57255566,0.008208711,0.994361908,0.02585,0.00018125,0.02211875,2,0.375,0.875,0,0.33625,3.875,21.28955991,178.7544765,195.5308001,4.513236298,10.25,200.0440364,48.00337562,17,4.083912009,0.604857461,0.319212391,0.000995376,0,0.257310321,0.039146508,0.304693267,0.00391857,0.257423106,0.113319679,0.5925,3,0.880320113,0.222076203,1.553497146,0.706893719,0.280063891,0.775613282,0.212205405,0.764357474,0.221802502,0.347907018,0.127202557,0.295244142,0.252895183,0.538346988,0.47599789,0.484768088,389.25,5.28746551,103,2.754498043,0.889694671,0.598377309,-0.580304053,1263432.299,5533308.318,0.521305916,0.078206055,1.141148478,30.12240553,22.25,1.356263528,4.88625,0.39125,1.19125,0.47,14.11625,0.20375,6.7225,0.446118915,0.093715554,0.421964031,0.132945626,0.336517738,0.118218154,0.106020768,0.347521421,0.462433981,0.111815897,0.157101521,0,0.367421346,0.197605069,18.62589358,5.744210983,1.485618966,0.463736411,20.1426915,43.29178801,0.068280563,0.668164074,0.317361515,0.567028734,0.416462424,0.730750259,0.251825277,0.724515059,0.258138524,0.774063313,0.210113082,0.693923728,0.283089583,0.680633501,0.315835914,92.4,89.64,49.76,24.4,6811,5.45,44.54,2562,1510,4230,0.3421,41.29,1063,644.7,52.46,0.88,51.17,0.001063,58.14772727,48137.34713,827.8457197,0.08247861,0.071428571,-0.412393049,-0.357142857,0.023809524,0.452380952,90.70254012,5.545972385,28.57375,1.349728739,2.375784355
6,HF2H,20.37117544,4.525,18.5,1.075,8.25,0.611206738,0.573701011,0,0.98215337,0.02589375,0,0.0212625,1.25,0,3.5,0,0.46475,5.25,121.4445719,228.2055088,294.2430725,10.61583365,5,349.6500808,80.19948403,1.5,6.488855437,0.49559047,0.321464558,0.003080923,0.001997428,0.36476456,0.025513915,0.125307871,0.000692908,0.340633135,0.087877015,0.385,2.67375,0.751918419,0.292397045,1.401341007,0.488947942,0.451612803,0.63845149,0.308304049,0.619273366,0.326551459,0.270584669,0.065244117,0.485439311,0.270330648,0.33454125,0.497401491,0.568548536,471.375,5.493286236,127.25,2.561928003,0.894012949,0.529270795,-0.541111668,1172488.696,4882811.937,0.250672523,0.222289573,1.557765802,31.42663781,14.875,0.721379711,4.29875,0.3825,0.9925,0.32375,13.05875,0.16875,5.92125,0.596551036,0.052529593,0.547622805,0.099998873,0.501518459,0.065290533,0.355279044,0.337061127,0.6084312,0.064608237,0.714433124,0.007352941,0.553965789,0.11601219,17.02122467,5.074858549,1.231338834,0.418892648,15.86960814,37.32346095,0.04826637,0.546419253,0.393739534,0.450522418,0.481913141,0.62246791,0.319584829,0.570205065,0.358303749,0.624864129,0.318381544,0.555309728,0.365225334,0.581590006,0.373830975,139.82,89.51,45.62,26.32,11910,5.44,53.5,2766,2074,1135,0,64.18,622,608.6,78.4,0.9,49.82,0.000622,55.35555556,80096.46302,1446.945338,-0.714285714,-0.19047619,0.333333333,-0.047619048,0.476190476,-0.571428571,77.73956858,4.440326451,25.53125,1.013438162,4.100091031
7,HF2M,16.15162487,4.0225,17.875,1.25,4,0.499815024,0.465585006,0.027165424,0.98479128,0.02823125,0.0007375,0.024425,1.375,0,0.5,1.375,0.3635,5,27.86405166,150.5534142,175.7864357,2.631030153,7.5,178.4174659,5.435122785,17.25,3.90059729,0.784545776,0.138194029,8.91E-05,0,0.459080688,0.004114866,0.253825597,0.005180375,0.287448562,0.113698438,0.534285714,2.918571429,0.962781409,0.357146745,1.746392951,0.718506119,0.262636798,0.791660598,0.190943339,0.76637659,0.212237843,0.394542904,0.128415983,0.362123944,0.454786002,0.6496288,0.494199092,0.520142913,419.1428571,5.356491713,93.5,2.51551488,0.889676832,0.555218153,0.097034367,1115605.937,3002919.738,0.606909214,0.139022858,1.075835726,25.64215648,23.33333333,1.487306656,4.728571429,0.412857143,1.18,0.43,14.25285714,0.165714286,6.737142857,0.499692497,0.125893769,0.510063807,0.137708407,0.378718549,0.130835158,0.130323948,0.478837509,0.512826359,0.110740783,0.345745083,0.022551049,0.404876632,0.207060287,22.83303428,8.22006368,1.748278904,0.534253123,20.67062797,48.89639538,0.075251577,0.691725977,0.289828933,0.631263619,0.354221046,0.746907147,0.230551844,0.714399112,0.253447566,0.773229835,0.19980259,0.701162456,0.261585516,0.723465754,0.276068379,105.13,73.3,46.5,22.57,7150,9.14,60.05,1891,2248,1992,0.4053,28.61,835.5,671.5,42.8,0.81,49.5,0.0008355,61.11111111,59245.9605,969.4793537,-0.392792202,-0.714285714,0.654653671,0.771428571,0.771428571,-0.771428571,103.9406863,5.700660018,28.44142857,1.608169867,2.921269734
8,HF2P,14.96356498,3.997777778,17.96666667,2.277777778,5.111111111,0.522342481,0.509543432,0.720293648,0.293840148,0.049585,0.033165,0.006845,2.5,0,1,0.2,0.2864,4.6,75.83223744,515.511455,239.0593189,340.3302458,9,591.3436925,15.12169532,1.2,3.05346477,0.723539687,0.183639582,0,9.09E-05,0.581691995,0.002715041,0.106590215,0.033551889,0.294648886,0.111536407,0.52,2.896666667,1.150707871,0.305229935,2.129596446,0.68593408,0.281438224,0.809389946,0.167717399,0.753498817,0.217343318,0.381819001,0.122191682,0.339260832,0.634535832,0.643460516,0.497493073,0.534612676,421.6666667,5.463711473,120.8888889,2.536363955,0.907338595,0.53030656,-0.181667034,1335379.83,3071728.979,0.606273585,0.101189069,1.278988457,27.62294598,13.77777778,1.16015622,4.75,0.418888889,1.11,0.412222222,13.43,0.163333333,6.352222222,0.484347893,0.106258118,0.469779229,0.171681083,0.424170504,0.130428046,0.153444232,0.481228321,0.514270956,0.126369921,0.376649015,0.027394876,0.420942087,0.20299027,32.6403145,9.723361922,1.974558179,0.623803704,26.28531403,71.61344751,0.100724701,0.83320952,0.148926034,0.649406317,0.318845299,0.748183658,0.220197629,0.704141906,0.261869429,0.858283324,0.121171896,0.790633965,0.177948717,0.794095497,0.195861604,70,70,159.3,16.33,4929,3.86,66.06,2051,882,391.3,0,21.53,720.3,620.4,47.91,0.95,50.25,0.0007203,52.89473684,69762.59892,1318.894905,-0.70747497,-0.883333333,0.479257238,0.733333333,0.466666667,-0.2,144.1122324,6.063888266,27.15666667,1.628169635,2.944792985
9,HF3E,13.48992814,4.339,NA,3.3,5,0.550484245,0.440529582,0.002087548,0.999497453,0.079665,9.00E-05,0.066875,2.2,0.1,1.3,0,0.3109,4.2,92.61385294,214.6989041,306.0520908,0,7.8,307.3127571,4.529477424,13.4,3.602194921,0.651531548,0.225118834,0.000930767,0.00014942,0.329036934,0.072228536,0.252164131,0.000558884,0.311212003,0.100801463,0.4325,2.9325,1.173013243,0.290999596,2.089675833,0.656018146,0.323370289,0.74431125,0.235378209,0.739677221,0.237420062,0.23567048,0.074223808,0.430595588,0.315481504,0.498060634,0.502059057,0.541158993,439.5,5.35812805,129.7777778,3.021325042,0.881592454,0.623629267,NA,6243610.135,3327594.526,0.479493969,0.176413417,1.286501234,27.01570988,21.77777778,1.36836357,4.715,0.4275,1.16375,0.36125,14.955,0.20375,6.7125,0.558109105,0.065767756,0.532758388,0.084334845,0.431486984,0.070142628,0.309647915,0.277272727,0.558177629,0.065262624,0.523729898,0.013558201,0.487780865,0.116376018,24.57119921,7.26502783,1.890556054,0.60630957,26.77025591,57.39421742,0.094851075,0.638144952,0.340679659,0.553930951,0.424685557,0.709552116,0.265816828,0.677514905,0.29018865,0.746975245,0.226976794,0.657531778,0.304770619,0.657619444,0.337697665,114.47,92.07,30.74,35.3,10830,6.06,38.8,2475,2521,1725,0.5087,49.08,565.6,513.1,173.7,0.95,48.97,0.0005656,51.54736842,86580.62235,1679.632249,-0.292770022,-0.071428571,0.219577516,0.19047619,0.095238095,-0.119047619,119.7654303,5.297287536,28.97125,0.928385279,3.578104201
10,HF3H,4.650108827,5.119,17.34,3.4,3.1,0.402597467,0.164106035,0.000796311,0.993207612,0.052585,3.50E-05,0.04511,2.3,1.7,0.6,0.2,0.6914,5.7,301.1822678,9.725321952,310.9075898,0,2.4,310.9075898,9.927832677,1,4.715194484,0.00604675,0.612473524,0.009723216,0.000204509,0.001125515,0.000320609,0.015583422,0.002669624,0.362241383,0.060215835,0.33125,2.475,0.321113507,0.112376924,0.688025444,0.006629041,0.66142208,0.014862788,0.610394053,0.011536714,0.632751004,0.00462963,0.010640681,0.55674531,0.001125515,0.45477446,0.44712473,0.656630773,538.875,5.593925096,181.2857143,3.50776204,0.892641,0.675392105,1.877807608,14008714.92,246110.4601,0.080583758,0.314733153,0.77675044,13.36313423,3.428571429,0.032968558,4.15,0.33,0.86375,0.28375,11.77875,0.18625,5.54,0.597230117,0.006561273,0.548997416,0.005,0.416158669,0.002604167,0.587799639,0.009259259,0.649051015,0.007274476,0.820393021,0,0.571353852,0.00783778,6.338339522,0.937129733,0.457733361,0.174245629,5.370059768,15.31848169,0.040975536,0.007247369,0.65798479,0.004317093,0.723102395,0.010653484,0.625657098,0.008912481,0.607924759,0.0112986,0.621537085,0.007558461,0.590782993,0.013173634,0.752895702,106.06,103.55,155,26.31,12660,6.49,46.67,2844,1413,404.7,0,41.82,814.4,852.2,16.41,0.97,47.73,0.0008144,49.20618557,58607.56385,1191.060904,-0.5,-0.892857143,-0.392857143,0.285714286,-0.714285714,0.5,28.95807875,0.069790162,23.46375,0.043166585,4.505716882
11,HF3M,25.89470282,4.07375,18.5,1.625,6.625,0.606582821,0.677450991,0.41862868,0.596389421,0.0403,0.00788125,0.014375,2.125,0.5,1.25,0.25,0.36825,4.875,102.5656126,297.5258421,143.0333431,257.0581116,7,400.0914548,3.034311038,1,3.700286505,0.645919466,0.256877527,0.001085282,0.000131046,0.436226611,0.036178188,0.115882537,0.056677979,0.29910361,0.10567761,0.55375,2.7975,1.184608015,0.354300858,1.816576315,0.680331803,0.304796026,0.607702189,0.380553782,0.7264651,0.26385144,0.406327728,0.148723706,0.316738699,0.330472109,0.475181518,0.476429595,0.501599589,378.375,5.296749501,113.875,2.812387059,0.895108822,0.593774365,-0.916137311,3990770.611,3969725.272,0.395976638,0.077890909,1.488609503,34.28053951,18.875,1.274263623,4.5775,0.38,1.175,0.44625,13.4675,0.19625,6.4,0.414855891,0.121644413,0.442371286,0.165696935,0.322194716,0.146528754,0.099019805,0.459151134,0.455599415,0.138022104,0.223600344,0.005681818,0.36502929,0.240841413,22.6725642,3.806729617,1.684159155,0.648133748,21.92852832,52.28534415,0.062570864,0.66420662,0.327299563,0.595882463,0.395341574,0.732280982,0.259355283,0.660302433,0.327042185,0.742211198,0.248203624,0.66644697,0.321864482,0.616764022,0.37553762,101.44,88.54,46.65,21.6,9695,4.36,35.19,3226,1919,1725,0,45,502.1,590.8,39.29,0.82,48.9,0.0005021,59.63414634,97390.95798,1633.140809,-0.483196757,-0.523809524,0.483196757,0.547619048,-0.166666667,0.238095238,104.2726381,5.358426493,27.19625,1.683894299,2.400561655
12,HF3P,25.68936141,4.71375,17.425,2.875,3.75,0.419235419,0.223678928,0.636247648,0.401787257,0.0634125,0.02830625,0.01836875,3.5,0.25,0.375,0.25,0.422,5,55.4046209,302.1441207,60.97285553,296.5758861,4.25,357.5487416,16.25431202,0,1.071966202,0.327037991,0.386435241,0.00287098,0.004017807,0.205845,0.006416841,0.069447889,0.049708391,0.326718272,0.089260585,0.29,2.237142857,0.772054286,0.181741291,1.559970024,0.527619026,0.376711851,0.650683513,0.276424856,0.605927966,0.315450048,0.095416667,0.057890313,0.585732283,0.196673163,0.443840949,0.481525234,0.590459765,469.7142857,5.534038292,191,3.825590808,0.90320655,0.732209462,1.542818394,10625754.36,963730.9835,0.233509082,0.356814574,0.807608378,11.81606693,18.2,0.824475333,3.804285714,0.3,0.81,0.25,11.12571429,0.141428571,5.278571429,0.607914623,0.04004675,0.587927086,0.039034378,0.5440658,0.035251717,0.51129329,0.112708333,0.684434127,0.04666943,0.765966197,0.011904762,0.626185286,0.062438205,16.53013544,5.006306584,1.198141046,0.387875249,19.06006168,40.68081238,0.066564782,0.542180868,0.363604137,0.438902795,0.465442136,0.603082844,0.306980017,0.558583337,0.322658732,0.598883558,0.310851224,0.52127438,0.365317743,0.628304944,0.328431427,63.51,62.83,116.8,16.49,8062,5.42,60.14,1840,1444,772.1,0.6367,25.17,438.2,663.2,29.24,0.76,47.84,0.0004382,62.94736842,109173.8932,1734.367869,-0.7,-0.1,0.5,-0.2,-0.6,0.7,83.70195145,4.418831753,22,0.443470243,4.684600984
13,US1E,23.67322713,4.27375,19.30555556,1.675,5,0.553183965,0.463976471,0.00123967,1.00126462,0.04141875,1.88E-05,0.0278125,2.375,0.125,0.125,1,0.425375,3.75,23.87642456,260.3532158,283.6495206,0.580119768,7,284.2296404,14.86943994,8.5,4.618074103,0.786279844,0.114844919,0,3.35E-05,0.097431109,0.24775222,0.340021958,0.000895091,0.25742199,0.111221697,0.591428571,3.004285714,1.296289294,0.21923341,2.600129999,0.762784382,0.228477653,0.825580595,0.155898593,0.851361136,0.133149393,0.229817783,0.080561229,0.327473507,0.168891081,0.251984153,0.487452551,0.496216166,380.5714286,5.217344809,89.71428571,2.598115298,0.883094119,0.580954008,0.024234985,3743029.324,4242239.407,0.249495832,0.095791926,1.298805427,27.82004433,21.14285714,1.588631201,4.915714286,0.397142857,1.268571429,0.47,14.79857143,0.234285714,6.907142857,0.381767197,0.068224111,0.4495177,0.097467695,0.322366306,0.100997635,0.163035808,0.269898154,0.464334564,0.08875313,0.196905657,0.007518797,0.404793715,0.14468419,28.20918269,8.357502075,1.879906405,0.691294098,32.86856759,66.15549284,0.045296321,0.770785309,0.214315648,0.712112528,0.273212912,0.803179575,0.179717851,0.796853542,0.184971361,0.850812338,0.132617793,0.800791391,0.175559775,0.778415844,0.218044638,107.72,98.3,601.9,35.33,9096,5.9,47.07,3388,2224,1611,0,60.32,644.9,723.4,48.15,0.99,48.75,0.0006449,49.24242424,75593.11521,1535.121724,-0.579066024,0.392857143,0.267261242,-0.464285714,-0.464285714,0.464285714,139.5035313,6.275734908,29.58285714,1.007361495,2.478512873
14,US1H,24.88075169,4.8325,20.97222222,0.8,16,0.630598517,0.649595509,0.001524418,0.991229306,0.03728125,3.75E-05,0.0250125,2.375,0.75,1.5,1,0.82225,5.625,267.3564311,31.41579315,298.7722243,0,6.5,298.7722243,0.769164532,0.5,2.937891517,0.165398588,0.374912795,0.019093232,0.006641796,0.138183873,0.005526467,0.008656523,0.020828945,0.28751049,0.087252323,0.49,2.62,0.536708109,0.144538769,0.954888861,0.220760465,0.542998552,0.244158117,0.643549744,0.23384131,0.585870239,0.153909849,0.046763896,0.389206366,0.137938208,0.367622479,0.502805621,0.588345237,479,5.616626027,183.25,3.674454624,0.91102436,0.704702816,-1.11004404,6615074.282,1361915.585,0.256304353,0.142326569,1.873274189,39.14003353,5.25,0.273069769,4.403333333,0.316666667,0.921666667,0.39,11.115,0.186666667,5.561666667,0.442923205,0.052092741,0.442505984,0.115457294,0.370224257,0.091745483,0.260352997,0.281047831,0.540160741,0.0716011,0.543804466,0.018518519,0.46817259,0.103223589,12.81795791,3.929963852,1.005273959,0.296845261,10.86602009,27.97707234,0.042549137,0.23193898,0.640464542,0.199428491,0.670797612,0.233557297,0.62188618,0.231038585,0.596969494,0.235025843,0.579514125,0.227220645,0.613080819,0.241671693,0.661866191,71.28,70.18,29.46,21.23,12340,5.53,54.53,911.4,1777,670,0.4681,67.32,273.4,687.7,42.28,0.79,49.85,0.0002734,63.10126582,182333.5772,2889.539137,0.5,0.5,-1,0.5,-1,0.5,57.47239066,1.820641998,23.385,0.887596406,3.210470808
15,US1M,28.95284884,3.26,21,2.8,8.2,0.604980706,0.797165709,0.404728338,0.590069714,0.10377,0.01524,0.01964,3.3,0.1,0.2,0.4,0.603,4.5,85.38041993,293.8738728,208.1523839,171.1019089,5.8,379.2542927,141.0854435,11,5.059000632,0.709717502,0.20797513,7.56E-05,0.001018927,0.335867818,0.019173384,0.348688147,0.00627519,0.249344692,0.142040495,0.947,4.284,1.31312352,0.369828296,2.063285391,0.670552776,0.30075405,0.665438606,0.312279245,0.691416016,0.261591416,0.434611633,0.187231272,0.190767205,0.404339235,0.551113804,0.489713892,0.494906786,355,5.16912453,92.44444444,2.73453243,0.881952506,0.60464182,-1.748877584,4547642.786,3990485.051,0.549808391,0.048949997,1.628697356,48.94649188,20,1.433531857,6.963,0.524,1.736,0.747,18.846,0.32,9.428,0.3105693,0.158489385,0.32069615,0.197921162,0.243202969,0.183668845,0.056640594,0.46920074,0.345749779,0.171040239,0.06825495,0.016444468,0.257869966,0.270071939,25.42419113,4.724824865,1.979770602,0.718462647,24.16359737,57.49063534,0.076786405,0.61507772,0.355384456,0.566252626,0.403598923,0.686396814,0.28552928,0.657441939,0.306364266,0.712886409,0.255732842,0.652015085,0.3134531,0.56661893,0.397416782,98.97,88.21,127.5,19.58,3973,3.57,61.58,2154,1269,531.3,0,29.11,509.3,545.3,42.47,0.76,51.62,0.0005093,67.92105263,101354.8007,1492.244257,NA,0.55,NA,-0.516666667,0.016666667,0.05,115.8913919,5.127242299,39.511,1.901448411,1.651933705
